date,year,month,prec_mean,crime_count,name2,zipcode,county,ID,n_crime,n,Assault,BreakingnEntering,Robbery,Theft,yymm,id_mes
2015-01-01,2015,1,.33870968,46, MD,21502,Allegany,1,46,1,52,27,6,78,201501,11
2015-02-01,2015,2,.19642857,34, MD,21502,Allegany,1,34,1,58,20,3,58,201502,12
2015-03-01,2015,3,.29193547,40, MD,21502,Allegany,1,40,1,65,18,1,85,201503,13
2015-04-01,2015,4,.69166666,63, MD,21502,Allegany,1,63,1,110,32,4,118,201504,14
2015-05-01,2015,5,.43387097,70, MD,21502,Allegany,1,70,1,92,38,6,105,201505,15
2015-06-01,2015,6,1.2866666,24, MD,21502,Allegany,1,24,1,46,17,3,83,201506,16
2015-07-01,2015,7,.46451613,2, MD,21532,Allegany,1,9,1,0,0,0,9,201507,17
2015-08-01,2015,8,.13870968,10, MD,21502,Allegany,1,10,1,13,1,2,16,201508,18
2015-09-01,2015,9,.43666667,1, MD,21532,Allegany,1,2,1,0,0,0,0,201509,19
2015-10-01,2015,10,.34516129,1, MD,21532,Allegany,1,1,1,0,0,0,0,201510,110
2015-11-01,2015,11,.28666666,1, MD,21502,Allegany,1,1,1,0,0,0,0,201511,111
2015-12-01,2015,12,.63064516,1, MD,21502,Allegany,1,1,1,0,0,0,0,201512,112
2015-01-01,2015,1,.69999999,22, MD,21412,Anne Arundel,2,22,1,22,6,1,42,201501,21
2015-02-01,2015,2,.59999996,22, MD,21412,Anne Arundel,2,22,1,22,4,5,37,201502,22
2015-03-01,2015,3,.64516127,20, MD,21412,Anne Arundel,2,20,1,20,9,0,46,201503,23
2015-04-01,2015,4,.56999999,22, MD,21412,Anne Arundel,2,23,1,23,8,1,43,201504,24
2015-05-01,2015,5,.16290322,41, MD,21412,Anne Arundel,2,41,1,41,38,16,79,201505,25
2015-06-01,2015,6,.69666666,42, MD,21412,Anne Arundel,2,42,1,42,28,10,119,201506,26
2015-07-01,2015,7,.33709678,45, MD,21412,Anne Arundel,2,46,1,46,31,5,115,201507,27
2015-08-01,2015,8,.35806453,38, MD,21412,Anne Arundel,2,38,1,38,29,12,80,201508,28
2015-09-01,2015,9,.56666666,44, MD,21412,Anne Arundel,2,44,1,44,18,6,75,201509,29
2015-10-01,2015,10,.69838709,40, MD,21412,Anne Arundel,2,40,1,40,15,12,71,201510,210
2015-11-01,2015,11,.50999999,51, MD,21412,Anne Arundel,2,51,1,51,20,8,64,201511,211
2015-12-01,2015,12,1.0645162,29, MD,21412,Anne Arundel,2,29,1,29,36,12,53,201512,212
2015-01-01,2015,1,.72580642,1, MD,21117,Baltimore,3,4,1,249,186,68,632,201501,31
2015-02-01,2015,2,.27500001,2, MD,21286,Baltimore,3,2,1,264,134,33,569,201502,32
2015-03-01,2015,3,.27258065,2, MD,21286,Baltimore,3,2,1,277,171,49,752,201503,33
2015-04-01,2015,4,.30166668,1, MD,21286,Baltimore,3,1,1,326,194,40,761,201504,34
2015-05-01,2015,5,.16774194,2, MD,21136,Baltimore,3,9,1,320,239,46,760,201505,35
2015-06-01,2015,6,.80333334,2, MD,21117,Baltimore,3,9,1,336,226,44,699,201506,36
2015-07-01,2015,7,.20483871,2, MD,21221,Baltimore,3,8,1,268,273,55,619,201507,37
2015-08-01,2015,8,.30645162,2, MD,21286,Baltimore,3,10,1,290,313,51,748,201508,38
2015-09-01,2015,9,.27333334,3, MD,21286,Baltimore,3,3,1,338,289,75,721,201509,39
2015-10-01,2015,10,.27096775,1, MD,21286,Baltimore,3,1,1,351,196,54,779,201510,310
2015-11-01,2015,11,.48833331,2, MD,21136,Baltimore,3,4,1,185,97,34,335,201511,311
2015-12-01,2015,12,.84516132,1, MD,21286,Baltimore,3,1,1,249,183,54,592,201512,312
2015-01-01,2015,1,1.1548387,13, MD,20688,Calvert,4,95,1,13,7,0,49,201501,41
2015-02-01,2015,2,.61607146,13, MD,20754,Calvert,4,127,1,7,12,1,39,201502,42
2015-03-01,2015,3,.66612905,3, MD,20714,Calvert,4,83,1,22,4,1,60,201503,43
2015-04-01,2015,4,.38666666,4, MD,20714,Calvert,4,89,1,24,13,0,49,201504,44
2015-05-01,2015,5,.38709679,10, MD,20688,Calvert,4,105,1,22,7,1,92,201505,45
2015-06-01,2015,6,1.0266666,8, MD,20688,Calvert,4,93,1,18,6,1,51,201506,46
2015-07-01,2015,7,.94516128,5, MD,20657,Calvert,4,89,1,17,7,2,68,201507,47
2015-08-01,2015,8,.56612903,12, MD,20732,Calvert,4,96,1,21,17,1,54,201508,48
2015-09-01,2015,9,.81666666,7, MD,20657,Calvert,4,90,1,13,11,1,71,201509,49
2015-10-01,2015,10,.91129035,37, MD,20678,Calvert,4,103,1,10,16,2,71,201510,410
2015-11-01,2015,11,.64166665,22, MD,20678,Calvert,4,86,1,19,9,1,49,201511,411
2015-12-01,2015,12,.96612906,5, MD,20639,Calvert,4,99,1,20,7,1,49,201512,412
2015-01-01,2015,1,1.1612903,3, MD,21639,Caroline,5,11,1,9,1,3,28,201501,51
2015-02-01,2015,2,.52321428,6, MD,21655,Caroline,5,8,1,14,0,1,19,201502,52
2015-03-01,2015,3,.56129032,2, MD,21655,Caroline,5,7,1,11,0,0,13,201503,53
2015-04-01,2015,4,.31833333,2, MD,21655,Caroline,5,8,1,15,2,0,29,201504,54
2015-05-01,2015,5,.096774198,6, MD,21655,Caroline,5,9,1,9,0,0,16,201505,55
2015-06-01,2015,6,.76833332,3, MD,21636,Caroline,5,11,1,7,0,0,20,201506,56
2015-07-01,2015,7,.27096775,3, MD,21636,Caroline,5,9,1,11,2,0,27,201507,57
2015-08-01,2015,8,.32258064,1, MD,21636,Caroline,5,13,1,10,2,0,17,201508,58
2015-09-01,2015,9,.25999999,2, MD,21655,Caroline,5,6,1,4,6,0,22,201509,59
2015-10-01,2015,10,.66451615,1, MD,21649,Caroline,5,12,1,8,0,0,32,201510,510
2015-11-01,2015,11,.45833334,3, MD,21629,Caroline,5,10,1,10,1,0,15,201511,511
2015-12-01,2015,12,.966129,4, MD,21655,Caroline,5,7,1,7,0,0,23,201512,512
2015-01-01,2015,1,.65806448,85, MD,21157,Carroll,6,85,1,8,3,2,35,201501,61
2015-02-01,2015,2,.36785716,85, MD,21157,Carroll,6,85,1,14,4,1,34,201502,62
2015-03-01,2015,3,.57741934,69, MD,21157,Carroll,6,69,1,15,1,1,35,201503,63
2015-04-01,2015,4,.30333334,52, MD,21157,Carroll,6,52,1,15,11,0,50,201504,64
2015-05-01,2015,5,.23548387,78, MD,21157,Carroll,6,78,1,22,9,4,61,201505,65
2015-06-01,2015,6,1.0083333,57, MD,21157,Carroll,6,57,1,18,6,1,49,201506,66
2015-07-01,2015,7,.2,70, MD,21157,Carroll,6,70,1,20,12,4,65,201507,67
2015-08-01,2015,8,.2532258,59, MD,21157,Carroll,6,59,1,23,10,2,47,201508,68
2015-09-01,2015,9,.38666666,53, MD,21157,Carroll,6,53,1,14,4,0,50,201509,69
2015-10-01,2015,10,.47096774,67, MD,21157,Carroll,6,67,1,15,2,1,57,201510,610
2015-11-01,2015,11,.43333334,60, MD,21157,Carroll,6,60,1,12,8,0,47,201511,611
2015-12-01,2015,12,.84354836,51, MD,21157,Carroll,6,51,1,7,6,2,49,201512,612
2015-01-01,2015,1,.80483872,1, MD,21901,Cecil,7,1,1,0,0,0,0,201501,71
2015-04-01,2015,4,.31,1, MD,21903,Cecil,7,1,1,0,0,0,0,201504,74
2015-12-01,2015,12,.72096777,1, MD,21921,Cecil,7,1,1,0,0,0,0,201512,712
2015-01-01,2015,1,1.0548388,361, MD,20602,Charles,8,467,1,181,56,7,174,201501,81
2015-02-01,2015,2,.44285715,425, MD,20602,Charles,8,554,1,185,59,3,137,201502,82
2015-03-01,2015,3,.69677418,11, MD,20640,Charles,8,428,1,237,39,10,135,201503,83
2015-04-01,2015,4,.36166668,3, MD,20675,Charles,8,488,1,201,53,3,185,201504,84
2015-05-01,2015,5,.27419356,8, MD,20637,Charles,8,560,1,259,58,6,178,201505,85
2015-06-01,2015,6,.92000002,53, MD,20616,Charles,8,583,1,260,82,4,186,201506,86
2015-07-01,2015,7,.69354838,2, MD,20675,Charles,8,576,1,233,54,2,180,201507,87
2015-08-01,2015,8,.47741935,1, MD,20617,Charles,8,460,1,213,52,3,228,201508,88
2015-09-01,2015,9,.71999997,11, MD,20637,Charles,8,376,1,202,59,10,178,201509,89
2015-10-01,2015,10,.79677421,4, MD,20617,Charles,8,491,1,242,61,10,181,201510,810
2015-11-01,2015,11,.47999999,3, MD,20617,Charles,8,401,1,224,57,12,176,201511,811
2015-12-01,2015,12,.92580646,9, MD,20640,Charles,8,421,1,224,74,14,199,201512,812
2015-01-01,2015,1,.53225803,17, MD,21643,Dorchester,9,23,1,9,3,0,12,201501,91
2015-02-01,2015,2,.39107144,12, MD,21643,Dorchester,9,13,1,4,3,0,13,201502,92
2015-03-01,2015,3,.16612904,17, MD,21643,Dorchester,9,22,1,8,3,0,9,201503,93
2015-04-01,2015,4,.14833334,17, MD,21643,Dorchester,9,17,1,8,2,0,18,201504,94
2015-05-01,2015,5,.093548387,1, MD,21613,Dorchester,9,4,1,4,0,0,4,201505,95
2015-06-01,2015,6,.48166665,10, MD,21643,Dorchester,9,12,1,4,1,0,25,201506,96
2015-07-01,2015,7,.39354837,1, MD,21869,Dorchester,9,19,1,4,2,0,16,201507,97
2015-08-01,2015,8,.28548387,15, MD,21643,Dorchester,9,18,1,7,2,0,16,201508,98
2015-09-01,2015,9,.073333338,1, MD,21631,Dorchester,9,21,1,8,3,0,27,201509,99
2015-10-01,2015,10,.21774194,10, MD,21643,Dorchester,9,11,1,3,3,0,13,201510,910
2015-11-01,2015,11,.27333334,3, MD,21643,Dorchester,9,3,1,3,1,0,4,201511,911
