date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,3,-3,0.0,8.7,2,71,03:22 PM,04:51 AM,08:25 AM,05:51 PM,-13,-8,-2,-8,25,4,42,0.0,1024,-2,10,257,14,21902
2015-01-01 12:00:00,3,-3,0.0,8.7,2,71,03:22 PM,04:51 AM,08:25 AM,05:51 PM,-13,-2,3,-2,24,0,29,0.0,1020,3,10,231,19,21902
2015-01-02 00:00:00,5,-1,0.0,8.7,2,78,04:08 PM,05:50 AM,08:25 AM,05:52 PM,-7,-6,-1,-6,21,29,62,0.0,1021,-1,10,241,10,21902
2015-01-02 12:00:00,5,-1,0.0,8.7,2,78,04:08 PM,05:50 AM,08:25 AM,05:52 PM,-4,1,5,1,20,6,49,0.0,1026,5,10,283,15,21902
2015-01-03 00:00:00,5,-1,0.0,3.5,2,85,04:58 PM,06:45 AM,08:25 AM,05:53 PM,-6,-4,-0,-4,11,22,64,0.0,1032,-0,10,26,5,21902
2015-01-03 12:00:00,5,-1,0.0,3.5,2,85,04:58 PM,06:45 AM,08:25 AM,05:53 PM,2,1,5,1,12,100,80,0.0,1030,5,10,22,8,21902
2015-01-04 00:00:00,15,5,0.0,3.5,3,92,05:51 PM,07:36 AM,08:25 AM,05:54 PM,5,2,6,2,12,100,98,0.0,1019,6,10,248,7,21902
2015-01-04 12:00:00,15,5,0.0,3.5,3,92,05:51 PM,07:36 AM,08:25 AM,05:54 PM,11,10,12,10,17,60,93,1.3,1010,12,9,198,10,21902
2015-01-05 00:00:00,2,-5,0.0,7.0,2,99,06:46 PM,08:20 AM,08:25 AM,05:55 PM,0,-1,4,-1,47,0,76,0.5,1016,4,10,275,26,21902
2015-01-05 12:00:00,2,-5,0.0,7.0,2,99,06:46 PM,08:20 AM,08:25 AM,05:55 PM,-10,-7,0,-7,40,1,44,0.1,1026,0,9,284,32,21902
2015-01-06 00:00:00,-4,-8,4.8,3.5,2,95,07:43 PM,09:01 AM,08:25 AM,05:55 PM,-18,-10,-5,-10,16,47,35,0.0,1031,-5,10,324,12,21902
2015-01-06 12:00:00,-4,-8,4.8,3.5,2,95,07:43 PM,09:01 AM,08:25 AM,05:55 PM,-6,-8,-4,-8,4,100,84,2.4,1021,-4,2,169,4,21902
2015-01-07 00:00:00,-7,-12,0.0,7.0,2,88,08:38 PM,09:38 AM,08:25 AM,05:56 PM,-10,-14,-8,-14,12,35,86,0.0,1019,-8,10,268,7,21902
2015-01-07 12:00:00,-7,-12,0.0,7.0,2,88,08:38 PM,09:38 AM,08:25 AM,05:56 PM,-14,-16,-7,-16,42,50,55,0.0,1019,-7,10,293,32,21902
2015-01-08 00:00:00,-10,-14,0.0,8.7,2,81,09:34 PM,10:10 AM,08:25 AM,05:57 PM,-16,-23,-14,-23,33,7,83,0.0,1030,-14,10,302,19,21902
2015-01-08 12:00:00,-10,-14,0.0,8.7,2,81,09:34 PM,10:10 AM,08:25 AM,05:57 PM,-15,-19,-10,-19,20,12,68,0.0,1032,-10,10,278,15,21902
2015-01-09 00:00:00,-0,-7,0.0,7.0,2,74,10:29 PM,10:41 AM,08:25 AM,05:58 PM,-13,-16,-7,-16,33,46,62,0.0,1022,-7,10,186,18,21902
2015-01-09 12:00:00,-0,-7,0.0,7.0,2,74,10:29 PM,10:41 AM,08:25 AM,05:58 PM,-7,-7,-0,-7,29,55,61,0.0,1019,-0,10,264,21,21902
2015-01-10 00:00:00,-8,-13,0.0,8.7,2,68,11:25 PM,11:11 AM,08:24 AM,05:59 PM,-12,-18,-10,-18,31,0,84,0.0,1028,-10,10,292,17,21902
2015-01-10 12:00:00,-8,-13,0.0,8.7,2,68,11:25 PM,11:11 AM,08:24 AM,05:59 PM,-14,-16,-9,-16,15,0,64,0.0,1035,-9,10,301,12,21902
2015-01-11 00:00:00,1,-10,0.0,9.8,2,61,No moonrise,11:40 AM,08:24 AM,06:00 PM,-15,-14,-10,-14,10,21,69,0.0,1037,-10,10,206,5,21902
2015-01-11 12:00:00,1,-10,0.0,9.8,2,61,No moonrise,11:40 AM,08:24 AM,06:00 PM,-6,-4,1,-4,16,49,62,0.0,1036,1,10,172,12,21902
2015-01-12 00:00:00,2,-1,0.0,4.9,1,54,12:21 AM,12:09 PM,08:24 AM,06:01 PM,-4,-5,-1,-5,9,75,78,0.0,1033,-1,10,177,5,21902
2015-01-12 12:00:00,2,-1,0.0,4.9,1,54,12:21 AM,12:09 PM,08:24 AM,06:01 PM,2,-2,2,-2,6,100,99,7.2,1023,2,7,44,4,21902
2015-01-13 00:00:00,-3,-6,0.4,9.8,1,47,01:18 AM,12:41 PM,08:24 AM,06:02 PM,-2,-6,0,-6,16,64,86,0.5,1026,0,8,353,9,21902
2015-01-13 12:00:00,-3,-6,0.4,9.8,1,47,01:18 AM,12:41 PM,08:24 AM,06:02 PM,-11,-11,-4,-11,19,36,59,0.0,1036,-4,10,15,15,21902
2015-01-14 00:00:00,-0,-6,0.4,4.9,2,41,02:15 AM,01:16 PM,08:23 AM,06:03 PM,-12,-11,-5,-11,22,34,57,0.0,1034,-5,10,45,15,21902
2015-01-14 12:00:00,-0,-6,0.4,4.9,2,41,02:15 AM,01:16 PM,08:23 AM,06:03 PM,-6,-5,-0,-5,11,93,65,0.1,1027,-0,5,16,9,21902
2015-01-15 00:00:00,1,-2,0.0,9.8,1,34,03:15 AM,01:55 PM,08:23 AM,06:04 PM,-5,-7,-2,-7,10,88,80,0.0,1023,-2,10,328,7,21902
2015-01-15 12:00:00,1,-2,0.0,9.8,1,34,03:15 AM,01:55 PM,08:23 AM,06:04 PM,-10,-3,1,-3,15,2,43,0.0,1020,1,10,293,12,21902
2015-01-16 00:00:00,5,-4,0.0,9.8,2,27,04:15 AM,02:39 PM,08:23 AM,06:05 PM,-4,-6,-1,-6,20,4,83,0.0,1016,-1,10,234,10,21902
2015-01-16 12:00:00,5,-4,0.0,9.8,2,27,04:15 AM,02:39 PM,08:23 AM,06:05 PM,-4,-0,5,-0,38,7,50,0.0,1015,5,10,298,29,21902
2015-01-17 00:00:00,-0,-5,0.0,9.9,2,20,05:16 AM,03:31 PM,08:22 AM,06:07 PM,-14,-11,-5,-11,11,5,50,0.0,1027,-5,10,9,7,21902
2015-01-17 12:00:00,-0,-5,0.0,9.9,2,20,05:16 AM,03:31 PM,08:22 AM,06:07 PM,-16,-5,-1,-5,6,8,30,0.0,1028,-1,10,150,5,21902
2015-01-18 00:00:00,4,-0,0.0,6.6,2,13,06:15 AM,04:29 PM,08:22 AM,06:08 PM,-3,-6,-0,-6,19,0,83,0.0,1022,-0,10,150,10,21902
2015-01-18 12:00:00,4,-0,0.0,6.6,2,13,06:15 AM,04:29 PM,08:22 AM,06:08 PM,4,1,4,1,7,100,99,19.8,1010,4,5,40,3,21902
2015-01-19 00:00:00,6,-0,0.0,6.6,2,7,07:11 AM,05:35 PM,08:21 AM,06:09 PM,-1,-4,0,-4,23,10,89,0.0,1011,0,10,264,11,21902
2015-01-19 12:00:00,6,-0,0.0,6.6,2,7,07:11 AM,05:35 PM,08:21 AM,06:09 PM,-2,1,6,1,26,79,58,0.0,1014,6,10,285,19,21902
2015-01-20 00:00:00,7,-1,0.0,9.9,2,0,08:02 AM,06:44 PM,08:21 AM,06:10 PM,-3,-3,-1,-3,5,36,85,0.0,1015,-1,10,302,2,21902
2015-01-20 12:00:00,7,-1,0.0,9.9,2,0,08:02 AM,06:44 PM,08:21 AM,06:10 PM,0,6,7,6,1,34,62,0.0,1014,7,10,319,1,21902
2015-01-21 00:00:00,1,-3,0.2,5.0,2,7,08:48 AM,07:56 PM,08:20 AM,06:11 PM,-3,-5,-1,-5,13,9,88,0.0,1019,-1,10,26,6,21902
2015-01-21 12:00:00,1,-3,0.2,5.0,2,7,08:48 AM,07:56 PM,08:20 AM,06:11 PM,-6,-3,1,-3,5,100,59,0.2,1020,1,5,39,4,21902
2015-01-22 00:00:00,4,-4,0.0,8.3,1,14,09:31 AM,09:08 PM,08:20 AM,06:12 PM,-5,-5,-4,-5,2,45,96,0.0,1022,-4,2,138,1,21902
2015-01-22 12:00:00,4,-4,0.0,8.3,1,14,09:31 AM,09:08 PM,08:20 AM,06:12 PM,1,-0,4,-0,18,48,83,0.0,1025,4,10,312,13,21902
2015-01-23 00:00:00,2,-3,0.0,9.9,2,20,10:10 AM,10:19 PM,08:19 AM,06:13 PM,-4,-6,-2,-6,9,6,86,0.0,1029,-2,10,331,4,21902
2015-01-23 12:00:00,2,-3,0.0,9.9,2,20,10:10 AM,10:19 PM,08:19 AM,06:13 PM,-3,-1,2,-1,10,4,70,0.0,1024,2,10,168,8,21902
2015-01-24 00:00:00,2,-1,0.0,8.3,1,27,10:47 AM,11:29 PM,08:18 AM,06:14 PM,0,-2,1,-2,20,100,98,12.5,1012,1,5,63,12,21902
2015-01-24 12:00:00,2,-1,0.0,8.3,1,27,10:47 AM,11:29 PM,08:18 AM,06:14 PM,1,-4,1,-4,16,100,98,0.6,998,1,2,324,10,21902
2015-01-25 00:00:00,7,-1,0.0,6.6,2,34,11:25 AM,No moonset,08:18 AM,06:16 PM,-3,-6,-1,-6,23,15,85,0.0,1005,-1,10,257,12,21902
