date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,15,7,0.0,8.7,4,24,11:15 AM,09:44 PM,07:50 AM,05:41 PM,0,8,9,8,20,10,53,0.0,1020,9,10,18,10,california
2018-12-11 12:00:00,15,7,0.0,8.7,4,24,11:15 AM,09:44 PM,07:50 AM,05:41 PM,-6,14,15,14,19,6,24,0.0,1019,15,10,55,17,california
2018-12-12 00:00:00,14,6,0.0,8.7,4,31,11:52 AM,10:38 PM,07:51 AM,05:41 PM,4,7,9,7,24,14,70,0.0,1020,9,10,277,12,california
2018-12-12 12:00:00,14,6,0.0,8.7,4,31,11:52 AM,10:38 PM,07:51 AM,05:41 PM,-1,13,14,13,11,1,35,0.0,1021,14,10,75,9,california
2018-12-13 00:00:00,12,6,0.0,8.7,4,38,12:26 PM,11:34 PM,07:52 AM,05:41 PM,1,7,8,7,11,5,61,0.0,1025,8,10,293,5,california
2018-12-13 12:00:00,12,6,0.0,8.7,4,38,12:26 PM,11:34 PM,07:52 AM,05:41 PM,-9,11,12,11,16,4,22,0.0,1025,12,10,61,14,california
2018-12-14 00:00:00,12,7,0.0,7.0,4,45,12:58 PM,No moonset,07:52 AM,05:41 PM,-10,7,8,7,23,5,26,0.0,1024,8,10,7,11,california
2018-12-14 12:00:00,12,7,0.0,7.0,4,45,12:58 PM,No moonset,07:52 AM,05:41 PM,-12,11,12,11,12,88,18,0.0,1021,12,10,52,10,california
2018-12-15 00:00:00,14,5,0.0,8.7,4,51,01:28 PM,12:29 AM,07:53 AM,05:42 PM,-8,8,8,8,8,1,31,0.0,1021,8,10,0,4,california
2018-12-15 12:00:00,14,5,0.0,8.7,4,51,01:28 PM,12:29 AM,07:53 AM,05:42 PM,-10,13,14,13,12,0,19,0.0,1019,14,10,54,11,california
2018-12-16 00:00:00,15,6,0.0,8.7,4,58,01:58 PM,01:26 AM,07:54 AM,05:42 PM,-8,9,10,9,17,1,27,0.0,1021,10,10,6,8,california
2018-12-16 12:00:00,15,6,0.0,8.7,4,58,01:58 PM,01:26 AM,07:54 AM,05:42 PM,-9,15,15,15,6,4,18,0.0,1019,15,10,96,5,california
2018-12-17 00:00:00,15,9,0.0,8.7,3,65,02:29 PM,02:23 AM,07:54 AM,05:42 PM,1,10,12,10,21,78,48,0.0,1020,12,10,249,11,california
2018-12-17 12:00:00,15,9,0.0,8.7,3,65,02:29 PM,02:23 AM,07:54 AM,05:42 PM,2,13,15,13,26,10,42,0.0,1019,15,10,260,23,california
2018-12-18 00:00:00,14,6,0.0,8.7,4,72,03:02 PM,03:23 AM,07:55 AM,05:43 PM,5,7,8,7,18,8,77,0.0,1023,8,10,284,10,california
2018-12-18 12:00:00,14,6,0.0,8.7,4,72,03:02 PM,03:23 AM,07:55 AM,05:43 PM,2,14,14,14,4,17,46,0.0,1023,14,10,247,4,california
2018-12-19 00:00:00,15,6,0.0,8.7,4,78,03:39 PM,04:25 AM,07:56 AM,05:43 PM,3,7,9,7,15,14,66,0.0,1024,9,10,273,7,california
2018-12-19 12:00:00,15,6,0.0,8.7,4,78,03:39 PM,04:25 AM,07:56 AM,05:43 PM,-1,14,15,14,10,33,34,0.0,1023,15,10,81,9,california
2018-12-20 00:00:00,17,6,0.0,8.7,4,85,04:20 PM,05:31 AM,07:56 AM,05:44 PM,-2,9,10,9,15,0,42,0.0,1022,10,10,3,7,california
2018-12-20 12:00:00,17,6,0.0,8.7,4,85,04:20 PM,05:31 AM,07:56 AM,05:44 PM,-7,17,17,17,8,6,19,0.0,1019,17,10,112,6,california
2018-12-21 00:00:00,19,11,0.0,8.7,4,92,05:09 PM,06:37 AM,07:57 AM,05:44 PM,-7,12,13,12,21,7,26,0.0,1017,13,10,276,10,california
2018-12-21 12:00:00,19,11,0.0,8.7,4,92,05:09 PM,06:37 AM,07:57 AM,05:44 PM,-4,19,19,19,17,4,22,0.0,1015,19,10,259,15,california
2018-12-22 00:00:00,15,7,0.0,8.7,4,99,06:05 PM,07:45 AM,07:57 AM,05:45 PM,4,9,10,9,22,5,64,0.0,1016,10,10,300,11,california
2018-12-22 12:00:00,15,7,0.0,8.7,4,99,06:05 PM,07:45 AM,07:57 AM,05:45 PM,-3,14,15,14,15,5,30,0.0,1019,15,10,50,13,california
2018-12-23 00:00:00,16,7,0.0,8.7,4,94,07:08 PM,08:49 AM,07:57 AM,05:45 PM,-5,10,11,10,22,33,33,0.0,1021,11,10,17,10,california
2018-12-23 12:00:00,16,7,0.0,8.7,4,94,07:08 PM,08:49 AM,07:57 AM,05:45 PM,-1,16,16,16,6,6,30,0.0,1020,16,10,246,5,california
2018-12-24 00:00:00,14,6,0.0,8.7,4,88,08:16 PM,09:48 AM,07:58 AM,05:46 PM,1,6,8,6,21,0,63,0.0,1020,8,10,292,11,california
2018-12-24 12:00:00,14,6,0.0,8.7,4,88,08:16 PM,09:48 AM,07:58 AM,05:46 PM,-0,14,14,14,7,2,38,0.0,1016,14,10,248,6,california
2018-12-25 00:00:00,10,5,0.0,8.7,3,81,09:27 PM,10:40 AM,07:58 AM,05:46 PM,4,6,9,6,32,4,71,0.0,1010,9,10,258,20,california
2018-12-25 12:00:00,10,5,0.0,8.7,3,81,09:27 PM,10:40 AM,07:58 AM,05:46 PM,-1,7,10,7,26,5,45,0.0,1010,10,10,299,22,california
2018-12-26 00:00:00,10,2,0.0,7.0,3,74,10:36 PM,11:25 AM,07:59 AM,05:47 PM,2,3,6,3,23,8,77,0.0,1016,6,10,288,13,california
2018-12-26 12:00:00,10,2,0.0,7.0,3,74,10:36 PM,11:25 AM,07:59 AM,05:47 PM,-5,10,10,10,5,100,35,0.0,1016,10,10,205,4,california
2018-12-27 00:00:00,10,2,0.0,8.7,3,67,11:43 PM,12:05 PM,07:59 AM,05:48 PM,-0,2,5,2,24,7,67,0.0,1016,5,10,271,14,california
2018-12-27 12:00:00,10,2,0.0,8.7,3,67,11:43 PM,12:05 PM,07:59 AM,05:48 PM,-4,10,10,10,5,8,37,0.0,1014,10,10,319,4,california
2018-12-28 00:00:00,9,-1,0.0,8.7,3,61,No moonrise,12:41 PM,07:59 AM,05:48 PM,-5,2,3,2,9,0,56,0.0,1020,3,10,316,5,california
2018-12-28 12:00:00,9,-1,0.0,8.7,3,61,No moonrise,12:41 PM,07:59 AM,05:48 PM,-20,6,9,6,19,0,11,0.0,1021,9,10,25,17,california
2018-12-29 00:00:00,7,0,0.0,8.7,2,54,12:48 AM,01:15 PM,08:00 AM,05:49 PM,-11,2,2,2,5,0,39,0.0,1027,2,10,283,2,california
2018-12-29 12:00:00,7,0,0.0,8.7,2,54,12:48 AM,01:15 PM,08:00 AM,05:49 PM,-14,5,6,5,10,2,21,0.0,1026,6,10,120,8,california
2018-12-30 00:00:00,15,3,0.0,8.7,3,47,01:52 AM,01:48 PM,08:00 AM,05:50 PM,-8,3,3,3,2,2,45,0.0,1025,3,10,48,1,california
2018-12-30 12:00:00,15,3,0.0,8.7,3,47,01:52 AM,01:48 PM,08:00 AM,05:50 PM,-6,14,15,14,14,18,24,0.0,1015,15,10,308,12,california
2018-12-31 00:00:00,6,1,0.0,7.0,2,40,02:53 AM,02:21 PM,08:00 AM,05:50 PM,-5,1,6,1,52,0,45,0.0,1012,6,10,263,31,california
2018-12-31 12:00:00,6,1,0.0,7.0,2,40,02:53 AM,02:21 PM,08:00 AM,05:50 PM,-8,2,6,2,22,15,36,0.2,1013,6,9,52,19,california
2019-01-01 00:00:00,6,-2,0.0,8.7,2,34,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-16,-2,1,-2,30,3,25,0.0,1021,1,10,23,15,california
2019-01-01 12:00:00,6,-2,0.0,8.7,2,34,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-17,2,6,2,13,0,17,0.0,1023,6,10,68,20,california
2019-01-02 00:00:00,6,-4,0.0,8.7,2,27,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-18,-1,2,-1,8,53,29,0.0,1025,0,10,240,8,california
2019-01-02 12:00:00,6,-4,0.0,8.7,2,27,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-16,3,5,3,5,0,21,0.0,1024,5,10,94,8,california
2019-01-03 00:00:00,8,0,0.0,8.7,3,20,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-10,2,2,2,8,0,38,0.0,1025,2,10,325,3,california
2019-01-03 12:00:00,8,0,0.0,8.7,3,20,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-8,6,8,6,8,0,32,0.0,1022,8,10,63,13,california
2019-01-04 00:00:00,10,2,0.0,8.7,3,13,06:48 AM,05:02 PM,08:01 AM,05:53 PM,-6,3,4,3,6,5,48,0.0,1020,4,10,335,3,california
2019-01-04 12:00:00,10,2,0.0,8.7,3,13,06:48 AM,05:02 PM,08:01 AM,05:53 PM,-11,9,10,9,8,0,21,0.0,1016,10,10,56,10,california
2019-01-05 00:00:00,8,4,0.0,8.7,2,6,07:41 AM,05:51 PM,08:01 AM,05:54 PM,-10,5,6,5,3,96,32,0.0,1015,6,10,77,3,california
2019-01-05 12:00:00,8,4,0.0,8.7,2,6,07:41 AM,05:51 PM,08:01 AM,05:54 PM,-9,8,8,8,8,50,30,0.0,1014,8,10,216,22,california
2019-01-06 00:00:00,10,3,0.0,8.7,2,0,08:28 AM,06:42 PM,08:01 AM,05:55 PM,-1,4,6,4,9,73,66,1.0,1015,5,7,165,9,california
2019-01-06 12:00:00,10,3,0.0,8.7,2,0,08:28 AM,06:42 PM,08:01 AM,05:55 PM,-2,8,10,8,22,6,42,0.0,1018,10,10,247,18,california
2019-01-07 00:00:00,14,7,0.0,8.7,4,7,09:12 AM,07:36 PM,08:01 AM,05:56 PM,5,4,9,4,43,29,79,0.0,1019,9,10,225,14,california
2019-01-07 12:00:00,14,7,0.0,8.7,4,7,09:12 AM,07:36 PM,08:01 AM,05:56 PM,4,12,13,12,16,4,52,0.0,1021,13,10,214,19,california
2019-01-08 00:00:00,12,7,0.0,8.7,3,14,09:52 AM,08:30 PM,08:01 AM,05:57 PM,6,8,10,8,18,87,81,0.0,1023,10,10,47,10,california
2019-01-08 12:00:00,12,7,0.0,8.7,3,14,09:52 AM,08:30 PM,08:01 AM,05:57 PM,4,11,12,11,16,10,55,0.0,1019,12,10,43,12,california
2019-01-09 00:00:00,14,5,0.0,8.7,4,21,10:27 AM,09:26 PM,08:01 AM,05:58 PM,5,7,8,7,9,8,85,0.0,1021,8,10,21,4,california
2019-01-09 12:00:00,14,5,0.0,8.7,4,21,10:27 AM,09:26 PM,08:01 AM,05:58 PM,4,13,13,13,4,3,52,0.0,1020,13,10,185,14,california
2019-01-10 00:00:00,13,6,0.0,8.7,4,27,10:59 AM,10:20 PM,08:01 AM,05:59 PM,3,8,10,8,18,3,64,0.0,1020,10,10,256,9,california
2019-01-10 12:00:00,13,6,0.0,8.7,4,27,10:59 AM,10:20 PM,08:01 AM,05:59 PM,1,12,13,12,8,0,45,0.0,1019,13,10,36,9,california
2019-01-11 00:00:00,12,6,0.0,5.3,4,34,11:30 AM,11:16 PM,08:01 AM,05:59 PM,5,7,8,7,11,1,78,0.0,1020,8,10,9,6,california
2019-01-11 12:00:00,12,6,0.0,5.3,4,34,11:30 AM,11:16 PM,08:01 AM,05:59 PM,-2,10,12,10,14,100,38,0.0,1017,12,10,39,11,california
