date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,5,-1,0.0,8.7,2,71,03:27 PM,04:52 AM,08:24 AM,05:57 PM,-10,-5,-0,-5,18,5,48,0.0,1025,-0,10,265,10,20637
2015-01-01 12:00:00,5,-1,0.0,8.7,2,71,03:27 PM,04:52 AM,08:24 AM,05:57 PM,-9,1,5,1,22,34,36,0.0,1022,5,10,241,18,20637
2015-01-02 00:00:00,8,2,0.0,8.7,3,78,04:13 PM,05:51 AM,08:25 AM,05:58 PM,-3,-2,2,-2,18,5,73,0.0,1022,2,10,245,9,20637
2015-01-02 12:00:00,8,2,0.0,8.7,3,78,04:13 PM,05:51 AM,08:25 AM,05:58 PM,-2,6,8,6,7,11,50,0.0,1026,8,10,271,5,20637
2015-01-03 00:00:00,8,3,0.0,3.5,3,85,05:04 PM,06:45 AM,08:25 AM,05:58 PM,-1,1,4,1,12,9,71,0.0,1031,4,10,96,6,20637
2015-01-03 12:00:00,8,3,0.0,3.5,3,85,05:04 PM,06:45 AM,08:25 AM,05:58 PM,5,5,8,5,6,100,81,0.5,1030,8,2,65,4,20637
2015-01-04 00:00:00,16,7,0.0,5.2,3,92,05:57 PM,07:36 AM,08:25 AM,05:59 PM,7,4,7,4,8,89,96,0.0,1019,7,10,241,5,20637
2015-01-04 12:00:00,16,7,0.0,5.2,3,92,05:57 PM,07:36 AM,08:25 AM,05:59 PM,14,16,16,16,38,59,88,0.0,1012,16,10,191,18,20637
2015-01-05 00:00:00,5,-1,0.0,9.8,2,99,06:51 PM,08:21 AM,08:25 AM,06:00 PM,2,3,7,3,42,21,71,0.0,1018,7,10,302,24,20637
2015-01-05 12:00:00,5,-1,0.0,9.8,2,99,06:51 PM,08:21 AM,08:25 AM,06:00 PM,-7,-3,3,-3,37,0,49,0.0,1027,3,10,301,30,20637
2015-01-06 00:00:00,3,-3,1.6,8.2,2,95,07:47 PM,09:02 AM,08:25 AM,06:01 PM,-15,-6,-2,-6,18,51,37,0.0,1031,-2,10,354,13,20637
2015-01-06 12:00:00,3,-3,1.6,8.2,2,95,07:47 PM,09:02 AM,08:25 AM,06:01 PM,-5,-1,3,-1,8,16,56,0.9,1020,3,5,173,7,20637
2015-01-07 00:00:00,-3,-8,0.0,9.8,2,88,08:43 PM,09:39 AM,08:25 AM,06:02 PM,-7,-8,-3,-8,15,31,73,0.0,1020,-3,10,322,10,20637
2015-01-07 12:00:00,-3,-8,0.0,9.8,2,88,08:43 PM,09:39 AM,08:25 AM,06:02 PM,-11,-12,-4,-12,40,56,57,0.0,1020,-4,10,315,35,20637
2015-01-08 00:00:00,-6,-11,0.0,9.8,1,81,09:38 PM,10:12 AM,08:25 AM,06:03 PM,-16,-21,-10,-21,38,7,65,0.1,1032,-10,9,318,32,20637
2015-01-08 12:00:00,-6,-11,0.0,9.8,1,81,09:38 PM,10:12 AM,08:25 AM,06:03 PM,-17,-13,-7,-13,17,3,44,0.0,1033,-7,10,283,14,20637
2015-01-09 00:00:00,3,-4,0.0,9.8,2,74,10:33 PM,10:43 AM,08:24 AM,06:04 PM,-18,-12,-4,-12,38,56,33,0.0,1023,-4,10,204,28,20637
2015-01-09 12:00:00,3,-4,0.0,9.8,2,74,10:33 PM,10:43 AM,08:24 AM,06:04 PM,-9,-2,3,-2,17,18,42,0.0,1020,3,10,274,14,20637
2015-01-10 00:00:00,-3,-8,0.0,9.8,2,68,11:28 PM,11:13 AM,08:24 AM,06:05 PM,-11,-13,-5,-13,31,0,61,0.0,1029,-5,10,327,22,20637
2015-01-10 12:00:00,-3,-8,0.0,9.8,2,68,11:28 PM,11:13 AM,08:24 AM,06:05 PM,-17,-10,-4,-10,15,0,36,0.0,1036,-4,10,309,13,20637
2015-01-11 00:00:00,4,-4,0.0,9.8,2,61,No moonrise,11:43 AM,08:24 AM,06:06 PM,-10,-8,-3,-8,17,8,61,0.0,1037,-3,10,183,10,20637
2015-01-11 12:00:00,4,-4,0.0,9.8,2,61,No moonrise,11:43 AM,08:24 AM,06:06 PM,-8,-1,3,-1,15,29,42,0.0,1036,3,10,181,11,20637
2015-01-12 00:00:00,4,1,0.0,4.9,1,54,12:23 AM,12:13 PM,08:24 AM,06:07 PM,-5,-2,2,-2,15,63,61,0.0,1033,2,10,181,8,20637
2015-01-12 12:00:00,4,1,0.0,4.9,1,54,12:23 AM,12:13 PM,08:24 AM,06:07 PM,3,1,4,1,6,100,97,5.4,1023,4,7,276,4,20637
2015-01-13 00:00:00,-0,-3,0.1,9.8,1,47,01:20 AM,12:45 PM,08:24 AM,06:08 PM,0,-3,2,-3,23,65,88,2.6,1026,2,8,356,14,20637
2015-01-13 12:00:00,-0,-3,0.1,9.8,1,47,01:20 AM,12:45 PM,08:24 AM,06:08 PM,-8,-8,-2,-8,23,4,61,0.0,1034,-2,10,9,18,20637
2015-01-14 00:00:00,-0,-4,1.3,4.9,1,41,02:17 AM,01:20 PM,08:23 AM,06:09 PM,-6,-8,-2,-8,22,73,72,0.0,1032,-2,10,40,16,20637
2015-01-14 12:00:00,-0,-4,1.3,4.9,1,41,02:17 AM,01:20 PM,08:23 AM,06:09 PM,-3,-6,-1,-6,15,100,83,0.5,1026,-1,9,344,11,20637
2015-01-15 00:00:00,1,-3,0.0,9.9,2,34,03:16 AM,01:59 PM,08:23 AM,06:10 PM,-4,-7,-2,-7,16,46,89,0.0,1022,-2,10,342,9,20637
2015-01-15 12:00:00,1,-3,0.0,9.9,2,34,03:16 AM,01:59 PM,08:23 AM,06:10 PM,-5,-0,1,-0,10,6,65,0.0,1020,1,10,239,7,20637
2015-01-16 00:00:00,6,-1,0.0,9.9,2,27,04:16 AM,02:44 PM,08:23 AM,06:11 PM,-3,-5,-1,-5,10,0,84,0.0,1016,-1,10,235,5,20637
2015-01-16 12:00:00,6,-1,0.0,9.9,2,27,04:16 AM,02:44 PM,08:23 AM,06:11 PM,-2,2,6,2,32,5,58,0.0,1017,6,10,289,23,20637
2015-01-17 00:00:00,1,-2,0.0,9.9,2,20,05:16 AM,03:36 PM,08:22 AM,06:12 PM,-7,-8,-2,-8,26,11,66,0.0,1026,-2,10,32,15,20637
2015-01-17 12:00:00,1,-2,0.0,9.9,2,20,05:16 AM,03:36 PM,08:22 AM,06:12 PM,-10,-4,1,-4,14,3,45,0.0,1028,1,10,158,12,20637
2015-01-18 00:00:00,6,1,0.0,6.6,2,13,06:15 AM,04:35 PM,08:22 AM,06:13 PM,-1,-4,1,-4,29,7,83,0.0,1021,1,10,184,16,20637
2015-01-18 12:00:00,6,1,0.0,6.6,2,13,06:15 AM,04:35 PM,08:22 AM,06:13 PM,6,3,6,3,21,77,98,31.7,1010,6,5,158,10,20637
2015-01-19 00:00:00,7,2,0.0,9.9,2,7,07:11 AM,05:40 PM,08:21 AM,06:14 PM,0,-2,2,-2,20,14,90,0.0,1013,2,10,258,9,20637
2015-01-19 12:00:00,7,2,0.0,9.9,2,7,07:11 AM,05:40 PM,08:21 AM,06:14 PM,-1,2,6,2,22,8,61,0.0,1015,6,10,289,16,20637
2015-01-20 00:00:00,7,2,0.0,9.9,2,0,08:03 AM,06:49 PM,08:21 AM,06:15 PM,-0,-0,3,-0,23,28,80,0.0,1015,3,10,126,11,20637
